,n_genes,dataset
"""ASGR1_CD45_UNB_P4_8_136""",1788,human_liver_2019
"""ASGR1_CD45_UNB_P4_8_137""",1494,human_liver_2019
"""ASGR1_CD45_UNB_P4_8_138""",1273,human_liver_2019
"""ASGR1_CD45_UNB_P4_8_144""",492,human_liver_2019
"""ASGR1_CD45_UNB_P4_8_151""",1889,human_liver_2019
"""ASGR1_CD45_UNB_P4_8_159""",713,human_liver_2019
"""ASGR1_CD45_UNB_P4_8_167""",457,human_liver_2019
"""ASGR1_CD45_UNB_P4_8_168""",1472,human_liver_2019
"""ASGR1_CD45_UNB_P4_8_169""",1865,human_liver_2019
"""ASGR1_CD45_UNB_P4_8_171""",1183,human_liver_2019
"""ASGR1_CD45_UNB_P4_8_173""",819,human_liver_2019
"""ASGR1_CD45_UNB_P4_8_174""",1265,human_liver_2019
"""ASGR1_CD45_UNB_P4_8_175""",1485,human_liver_2019
"""ASGR1_CD45_UNB_P4_8_184""",1755,human_liver_2019
"""ASGR1_CD45_UNB_P4_8_187""",2468,human_liver_2019
"""ASGR1pos304_5_2""",535,human_liver_2019
"""ASGR1pos304_5_5""",1952,human_liver_2019
"""ASGR1pos304_5_6""",961,human_liver_2019
"""ASGR1pos304_5_7""",1168,human_liver_2019
"""ASGR1pos304_5_8""",564,human_liver_2019
"""ASGR1pos304_5_10""",1713,human_liver_2019
"""ASGR1pos304_5_11""",800,human_liver_2019
"""ASGR1pos304_5_18""",1124,human_liver_2019
"""ASGR1pos304_5_20""",716,human_liver_2019
"""ASGR1pos304_5_24""",1881,human_liver_2019
"""ASGR1pos304_5_28""",573,human_liver_2019
"""ASGR1pos304_5_30""",1907,human_liver_2019
"""ASGR1pos304_5_31""",538,human_liver_2019
"""ASGR1pos304_5_32""",539,human_liver_2019
"""ASGR1pos304_5_36""",1453,human_liver_2019
"""ASGR1pos304_5_38""",2130,human_liver_2019
"""ASGR1pos304_5_39""",1070,human_liver_2019
"""ASGR1pos304_5_44""",2134,human_liver_2019
"""ASGR1pos304_5_52""",669,human_liver_2019
"""ASGR1pos304_5_53""",2063,human_liver_2019
"""ASGR1pos304_5_55""",3309,human_liver_2019
"""ASGR1pos304_5_56""",983,human_liver_2019
"""ASGR1pos304_5_61""",920,human_liver_2019
"""ASGR1pos304_5_67""",1671,human_liver_2019
"""ASGR1pos304_5_69""",1742,human_liver_2019
"""ASGR1pos304_5_72""",453,human_liver_2019
"""ASGR1pos304_5_78""",730,human_liver_2019
"""ASGR1pos304_5_80""",457,human_liver_2019
"""ASGR1pos304_5_81""",2037,human_liver_2019
"""ASGR1pos304_5_84""",1682,human_liver_2019
"""ASGR1pos304_5_87""",2127,human_liver_2019
"""ASGR1pos304_5_89""",1484,human_liver_2019
"""ASGR1pos304_5_90""",2042,human_liver_2019
"""ASGR1pos304_6_98""",1663,human_liver_2019
"""ASGR1pos304_6_105""",1179,human_liver_2019
"""ASGR1pos304_6_106""",1049,human_liver_2019
"""ASGR1pos304_6_108""",1174,human_liver_2019
"""ASGR1pos304_6_110""",1574,human_liver_2019
"""ASGR1pos304_6_114""",951,human_liver_2019
"""ASGR1pos304_6_115""",1124,human_liver_2019
"""ASGR1pos304_6_118""",1991,human_liver_2019
"""ASGR1pos304_6_119""",2318,human_liver_2019
"""ASGR1pos304_6_122""",1878,human_liver_2019
