,gene_name,dataset
131,Tex30,old_10X_cruk_changed_buffer
132,Poglut2,old_10X_cruk_changed_buffer
133,Bivm,old_10X_cruk_changed_buffer
134,Ercc5,old_10X_cruk_changed_buffer
135,Mettl21e,old_10X_cruk_changed_buffer
136,Col3a1,old_10X_cruk_changed_buffer
137,Col5a2,old_10X_cruk_changed_buffer
138,Wdr75,old_10X_cruk_changed_buffer
139,Slc40a1,old_10X_cruk_changed_buffer
140,Slc39a10,old_10X_cruk_changed_buffer
141,Gm28151,old_10X_cruk_changed_buffer
142,C230029F24Rik,old_10X_cruk_changed_buffer
143,4933411E06Rik,old_10X_cruk_changed_buffer
144,Tmeff2,old_10X_cruk_changed_buffer
145,Gm28322,old_10X_cruk_changed_buffer
146,Gm28320,old_10X_cruk_changed_buffer
147,Cavin2,old_10X_cruk_changed_buffer
148,Nabp1,old_10X_cruk_changed_buffer
149,Gm17767,old_10X_cruk_changed_buffer
150,Myo1b,old_10X_cruk_changed_buffer
151,Gm29453,old_10X_cruk_changed_buffer
152,Gm28323,old_10X_cruk_changed_buffer
153,Gm31812,old_10X_cruk_changed_buffer
154,Stat1,old_10X_cruk_changed_buffer
155,Gls,old_10X_cruk_changed_buffer
156,Nab1,old_10X_cruk_changed_buffer
157,Nemp2,old_10X_cruk_changed_buffer
158,Mfsd6,old_10X_cruk_changed_buffer
159,Inpp1,old_10X_cruk_changed_buffer
160,Hibch,old_10X_cruk_changed_buffer
161,1700019D03Rik,old_10X_cruk_changed_buffer
162,1700019A02Rik,old_10X_cruk_changed_buffer
163,Pms1,old_10X_cruk_changed_buffer
164,Ormdl1,old_10X_cruk_changed_buffer
165,Osgepl1,old_10X_cruk_changed_buffer
166,Asnsd1,old_10X_cruk_changed_buffer
167,Stk17b,old_10X_cruk_changed_buffer
168,Hecw2,old_10X_cruk_changed_buffer
169,Gtf3c3,old_10X_cruk_changed_buffer
170,Pgap1,old_10X_cruk_changed_buffer
171,Ankrd44,old_10X_cruk_changed_buffer
172,Sf3b1,old_10X_cruk_changed_buffer
173,Coq10b,old_10X_cruk_changed_buffer
174,Hspd1,old_10X_cruk_changed_buffer
175,Hspe1,old_10X_cruk_changed_buffer
176,Mob4,old_10X_cruk_changed_buffer
177,Rftn2,old_10X_cruk_changed_buffer
178,Mars2,old_10X_cruk_changed_buffer
179,Satb2,old_10X_cruk_changed_buffer
180,9130024F11Rik,old_10X_cruk_changed_buffer
181,1700066M21Rik,old_10X_cruk_changed_buffer
182,Tyw5,old_10X_cruk_changed_buffer
183,Maip1,old_10X_cruk_changed_buffer
184,Spats2l,old_10X_cruk_changed_buffer
185,Kctd18,old_10X_cruk_changed_buffer
186,Sgo2a,old_10X_cruk_changed_buffer
187,Aox1,old_10X_cruk_changed_buffer
188,Aox3,old_10X_cruk_changed_buffer
189,Aox2,old_10X_cruk_changed_buffer
190,Bzw1,old_10X_cruk_changed_buffer
191,Clk1,old_10X_cruk_changed_buffer
192,Ppil3,old_10X_cruk_changed_buffer
193,Nif3l1,old_10X_cruk_changed_buffer
194,Orc2,old_10X_cruk_changed_buffer
195,Gm15834,old_10X_cruk_changed_buffer
196,Fam126b,old_10X_cruk_changed_buffer
197,Ndufb3,old_10X_cruk_changed_buffer
198,Flacc1,old_10X_cruk_changed_buffer
199,Cflar,old_10X_cruk_changed_buffer
200,Casp8,old_10X_cruk_changed_buffer
201,Trak2,old_10X_cruk_changed_buffer
202,Stradb,old_10X_cruk_changed_buffer
203,Tmem237,old_10X_cruk_changed_buffer
204,G730003C15Rik,old_10X_cruk_changed_buffer
205,Mpp4,old_10X_cruk_changed_buffer
206,Als2,old_10X_cruk_changed_buffer
207,Cdk15,old_10X_cruk_changed_buffer
208,Fzd7,old_10X_cruk_changed_buffer
209,Gm26813,old_10X_cruk_changed_buffer
210,Sumo1,old_10X_cruk_changed_buffer
211,Nop58,old_10X_cruk_changed_buffer
212,Bmpr2,old_10X_cruk_changed_buffer
213,Fam117b,old_10X_cruk_changed_buffer
214,Ica1l,old_10X_cruk_changed_buffer
215,Wdr12,old_10X_cruk_changed_buffer
216,Carf,old_10X_cruk_changed_buffer
217,Nbeal1,old_10X_cruk_changed_buffer
218,Cyp20a1,old_10X_cruk_changed_buffer
219,Abi2,old_10X_cruk_changed_buffer
220,Raph1,old_10X_cruk_changed_buffer
221,Cd28,old_10X_cruk_changed_buffer
222,Pard3b,old_10X_cruk_changed_buffer
223,Pard3bos1,old_10X_cruk_changed_buffer
224,Nrp2,old_10X_cruk_changed_buffer
225,Ino80d,old_10X_cruk_changed_buffer
226,Ino80dos,old_10X_cruk_changed_buffer
227,Gm20342,old_10X_cruk_changed_buffer
228,Ndufs1,old_10X_cruk_changed_buffer
229,Eef1b2,old_10X_cruk_changed_buffer
230,Adam23,old_10X_cruk_changed_buffer
231,Fastkd2,old_10X_cruk_changed_buffer
232,Klf7,old_10X_cruk_changed_buffer
233,Creb1,old_10X_cruk_changed_buffer
234,Mettl21a,old_10X_cruk_changed_buffer
235,Gm28982,old_10X_cruk_changed_buffer
236,2810408I11Rik,old_10X_cruk_changed_buffer
237,Ccnyl1,old_10X_cruk_changed_buffer
238,Fzd5,old_10X_cruk_changed_buffer
