,gene_name,dataset
145,Gabrg1,snRNAseq2_old_buffer
146,Ckb,snRNAseq2_old_buffer
147,Sp1,snRNAseq2_old_buffer
148,Itgb7,snRNAseq2_old_buffer
149,Myg1,snRNAseq2_old_buffer
150,Rarg,snRNAseq2_old_buffer
151,Pfdn5,snRNAseq2_old_buffer
152,Efnb2,snRNAseq2_old_buffer
153,Rnd2,snRNAseq2_old_buffer
154,Srr,snRNAseq2_old_buffer
155,Sync,snRNAseq2_old_buffer
156,Fndc5,snRNAseq2_old_buffer
157,Acp5,snRNAseq2_old_buffer
158,Fbxo9,snRNAseq2_old_buffer
159,Vps50,snRNAseq2_old_buffer
160,Zmat2,snRNAseq2_old_buffer
161,Ube2c,snRNAseq2_old_buffer
162,Smg5,snRNAseq2_old_buffer
163,Cct3,snRNAseq2_old_buffer
164,Glmp,snRNAseq2_old_buffer
165,Mef2d,snRNAseq2_old_buffer
166,Tmem79,snRNAseq2_old_buffer
167,Snd1,snRNAseq2_old_buffer
168,Slc19a1,snRNAseq2_old_buffer
169,Kpnb1,snRNAseq2_old_buffer
170,Npepps,snRNAseq2_old_buffer
171,Tbx21,snRNAseq2_old_buffer
172,Cyp51,snRNAseq2_old_buffer
173,Tcf25,snRNAseq2_old_buffer
174,Def8,snRNAseq2_old_buffer
175,Pax9,snRNAseq2_old_buffer
176,Itga3,snRNAseq2_old_buffer
177,Nrip2,snRNAseq2_old_buffer
178,Gtf2h4,snRNAseq2_old_buffer
179,Tubb5,snRNAseq2_old_buffer
180,Jup,snRNAseq2_old_buffer
181,Fkbp10,snRNAseq2_old_buffer
182,Klhl10,snRNAseq2_old_buffer
183,Nom1,snRNAseq2_old_buffer
184,Tnk1,snRNAseq2_old_buffer
185,Acap1,snRNAseq2_old_buffer
186,Tcea3,snRNAseq2_old_buffer
187,Ifrd1,snRNAseq2_old_buffer
188,Brpf1,snRNAseq2_old_buffer
189,Hoxc8,snRNAseq2_old_buffer
190,Gstt1,snRNAseq2_old_buffer
191,Gstt3,snRNAseq2_old_buffer
192,Tat,snRNAseq2_old_buffer
193,Ddx18,snRNAseq2_old_buffer
194,Ubl3,snRNAseq2_old_buffer
195,Gramd3,snRNAseq2_old_buffer
196,Tcirg1,snRNAseq2_old_buffer
197,Naglu,snRNAseq2_old_buffer
198,Smo,snRNAseq2_old_buffer
199,Tspan33,snRNAseq2_old_buffer
200,Rin2,snRNAseq2_old_buffer
201,Folh1,snRNAseq2_old_buffer
202,Fbxo7,snRNAseq2_old_buffer
203,Capns1,snRNAseq2_old_buffer
204,Evx2,snRNAseq2_old_buffer
205,Folr1,snRNAseq2_old_buffer
206,Clpb,snRNAseq2_old_buffer
207,Sept7,snRNAseq2_old_buffer
208,Zdhhc4,snRNAseq2_old_buffer
209,Nup214,snRNAseq2_old_buffer
210,Cpa3,snRNAseq2_old_buffer
211,Ltbp1,snRNAseq2_old_buffer
212,Ugp2,snRNAseq2_old_buffer
213,Kcnh6,snRNAseq2_old_buffer
214,Trmt1,snRNAseq2_old_buffer
215,Nacc1,snRNAseq2_old_buffer
216,Nfix,snRNAseq2_old_buffer
217,Uba1,snRNAseq2_old_buffer
218,Siae,snRNAseq2_old_buffer
219,Vsig2,snRNAseq2_old_buffer
220,Esam,snRNAseq2_old_buffer
221,Fam50a,snRNAseq2_old_buffer
222,Emd,snRNAseq2_old_buffer
223,Npas1,snRNAseq2_old_buffer
224,Sipa1l2,snRNAseq2_old_buffer
225,Ap4e1,snRNAseq2_old_buffer
226,Idh3g,snRNAseq2_old_buffer
227,Ssr4,snRNAseq2_old_buffer
228,Bcap31,snRNAseq2_old_buffer
229,Fam98a,snRNAseq2_old_buffer
230,Kmt2a,snRNAseq2_old_buffer
231,Tmem25,snRNAseq2_old_buffer
232,Trappc6a,snRNAseq2_old_buffer
233,Supt6,snRNAseq2_old_buffer
234,Spag5,snRNAseq2_old_buffer
235,Foxn1,snRNAseq2_old_buffer
236,Unc119,snRNAseq2_old_buffer
237,Sdf2,snRNAseq2_old_buffer
238,Hsf2bp,snRNAseq2_old_buffer
239,Psmc3,snRNAseq2_old_buffer
240,Acp2,snRNAseq2_old_buffer
241,Slc39a13,snRNAseq2_old_buffer
242,Ddb2,snRNAseq2_old_buffer
243,Spi1,snRNAseq2_old_buffer
244,Sf3a1,snRNAseq2_old_buffer
245,Stat6,snRNAseq2_old_buffer
246,Clgn,snRNAseq2_old_buffer
247,Napsa,snRNAseq2_old_buffer
248,Vrk3,snRNAseq2_old_buffer
249,Smg9,snRNAseq2_old_buffer
250,Paxip1,snRNAseq2_old_buffer
251,Ppard,snRNAseq2_old_buffer
252,Def6,snRNAseq2_old_buffer
253,Metrn,snRNAseq2_old_buffer
254,Lmf1,snRNAseq2_old_buffer
255,Narfl,snRNAseq2_old_buffer
