,n_genes,dataset
do20492,1243,snRNAseq2
do20493,1189,snRNAseq2
do20494,3125,snRNAseq2
do20495,5375,snRNAseq2
do20496,5160,snRNAseq2
do20497,4589,snRNAseq2
do20498,4500,snRNAseq2
do20499,2742,snRNAseq2
do20500,3102,snRNAseq2
do20501,5071,snRNAseq2
do20502,4882,snRNAseq2
do20503,33,snRNAseq2
do20504,3418,snRNAseq2
do20505,1251,snRNAseq2
do20506,3974,snRNAseq2
do20507,3576,snRNAseq2
do20508,4098,snRNAseq2
do20509,1186,snRNAseq2
do20510,3455,snRNAseq2
do20511,4955,snRNAseq2
do20512,4661,snRNAseq2
do20513,4635,snRNAseq2
do20514,3153,snRNAseq2
do20515,1338,snRNAseq2
do20516,1725,snRNAseq2
do20517,3949,snRNAseq2
do20518,4963,snRNAseq2
do20519,4489,snRNAseq2
do20520,3889,snRNAseq2
do20521,1259,snRNAseq2
do20522,3190,snRNAseq2
do20523,3253,snRNAseq2
do20524,2940,snRNAseq2
do20525,2534,snRNAseq2
do20526,3613,snRNAseq2
do20527,3322,snRNAseq2
do20528,4540,snRNAseq2
do20529,4655,snRNAseq2
do20530,4362,snRNAseq2
do20531,4375,snRNAseq2
do20532,1742,snRNAseq2
do20533,1481,snRNAseq2
do20534,3292,snRNAseq2
do20535,3755,snRNAseq2
do20536,1581,snRNAseq2
do20537,3702,snRNAseq2
do20538,2823,snRNAseq2
do20539,4335,snRNAseq2
do20540,2951,snRNAseq2
do20541,4271,snRNAseq2
do20542,2959,snRNAseq2
do20543,5734,snRNAseq2
do20544,3355,snRNAseq2
do20545,4729,snRNAseq2
do20546,1944,snRNAseq2
do20547,1962,snRNAseq2
do20548,4161,snRNAseq2
do20549,5004,snRNAseq2
do20550,3135,snRNAseq2
do20551,4349,snRNAseq2
do20552,2776,snRNAseq2
do20553,4991,snRNAseq2
do20554,3798,snRNAseq2
do20555,4694,snRNAseq2
do20556,1523,snRNAseq2
do20557,3891,snRNAseq2
do20558,2861,snRNAseq2
do20559,5605,snRNAseq2
do20560,5274,snRNAseq2
do20561,5018,snRNAseq2
do20562,5462,snRNAseq2
do20563,6812,snRNAseq2
do20564,4705,snRNAseq2
do20565,5514,snRNAseq2
do20566,4532,snRNAseq2
do20567,3285,snRNAseq2
do20568,3460,snRNAseq2
do20569,2801,snRNAseq2
do20570,2367,snRNAseq2
do20571,4430,snRNAseq2
do20572,3168,snRNAseq2
do20573,3667,snRNAseq2
do20574,3663,snRNAseq2
do20575,3864,snRNAseq2
do20576,4536,snRNAseq2
do20577,4424,snRNAseq2
do20578,4520,snRNAseq2
do20579,2222,snRNAseq2
do20580,2773,snRNAseq2
do20581,1789,snRNAseq2
do20582,3906,snRNAseq2
do20583,2070,snRNAseq2
do20584,2245,snRNAseq2
do20585,2866,snRNAseq2
do20586,1274,snRNAseq2
do20587,2352,snRNAseq2
do20588,4217,snRNAseq2
do20589,1049,snRNAseq2
do20590,3775,snRNAseq2
do20591,4917,snRNAseq2
do20592,4712,snRNAseq2
do20593,2930,snRNAseq2
do20594,5019,snRNAseq2
do20595,4534,snRNAseq2
do20596,4429,snRNAseq2
do20597,3778,snRNAseq2
do20598,3494,snRNAseq2
