,n_genes,dataset
O9.MAA000377.3_9_M.1.1,1856,tabula_muris_2018_smatseq2
O11.MAA000377.3_9_M.1.1,1738,tabula_muris_2018_smatseq2
O12.MAA000377.3_9_M.1.1,1172,tabula_muris_2018_smatseq2
O14.MAA000377.3_9_M.1.1,1818,tabula_muris_2018_smatseq2
O15.MAA000377.3_9_M.1.1,394,tabula_muris_2018_smatseq2
O19.MAA000377.3_9_M.1.1,1685,tabula_muris_2018_smatseq2
O20.MAA000377.3_9_M.1.1,1534,tabula_muris_2018_smatseq2
O21.MAA000377.3_9_M.1.1,2429,tabula_muris_2018_smatseq2
O22.MAA000377.3_9_M.1.1,2429,tabula_muris_2018_smatseq2
P3.MAA000377.3_9_M.1.1,691,tabula_muris_2018_smatseq2
A21.MAA000907.3_11_M.1.1,1990,tabula_muris_2018_smatseq2
C1.MAA000907.3_11_M.1.1,826,tabula_muris_2018_smatseq2
A22.MAA000907.3_11_M.1.1,3358,tabula_muris_2018_smatseq2
C2.MAA000907.3_11_M.1.1,2783,tabula_muris_2018_smatseq2
B1.MAA000907.3_11_M.1.1,2308,tabula_muris_2018_smatseq2
C3.MAA000907.3_11_M.1.1,2648,tabula_muris_2018_smatseq2
B2.MAA000907.3_11_M.1.1,3161,tabula_muris_2018_smatseq2
C4.MAA000907.3_11_M.1.1,2115,tabula_muris_2018_smatseq2
C5.MAA000907.3_11_M.1.1,2884,tabula_muris_2018_smatseq2
A1.MAA000907.3_11_M.1.1,1488,tabula_muris_2018_smatseq2
B3.MAA000907.3_11_M.1.1,2825,tabula_muris_2018_smatseq2
A2.MAA000907.3_11_M.1.1,3338,tabula_muris_2018_smatseq2
B4.MAA000907.3_11_M.1.1,2647,tabula_muris_2018_smatseq2
C6.MAA000907.3_11_M.1.1,1914,tabula_muris_2018_smatseq2
A3.MAA000907.3_11_M.1.1,764,tabula_muris_2018_smatseq2
B5.MAA000907.3_11_M.1.1,2572,tabula_muris_2018_smatseq2
C7.MAA000907.3_11_M.1.1,223,tabula_muris_2018_smatseq2
A4.MAA000907.3_11_M.1.1,1934,tabula_muris_2018_smatseq2
B6.MAA000907.3_11_M.1.1,1359,tabula_muris_2018_smatseq2
C8.MAA000907.3_11_M.1.1,2021,tabula_muris_2018_smatseq2
A5.MAA000907.3_11_M.1.1,2041,tabula_muris_2018_smatseq2
B7.MAA000907.3_11_M.1.1,1298,tabula_muris_2018_smatseq2
C9.MAA000907.3_11_M.1.1,2677,tabula_muris_2018_smatseq2
A6.MAA000907.3_11_M.1.1,1454,tabula_muris_2018_smatseq2
B8.MAA000907.3_11_M.1.1,2832,tabula_muris_2018_smatseq2
C10.MAA000907.3_11_M.1.1,2514,tabula_muris_2018_smatseq2
A8.MAA000907.3_11_M.1.1,2905,tabula_muris_2018_smatseq2
B10.MAA000907.3_11_M.1.1,1454,tabula_muris_2018_smatseq2
A7.MAA000907.3_11_M.1.1,1516,tabula_muris_2018_smatseq2
B9.MAA000907.3_11_M.1.1,2751,tabula_muris_2018_smatseq2
C11.MAA000907.3_11_M.1.1,1731,tabula_muris_2018_smatseq2
C13.MAA000907.3_11_M.1.1,1208,tabula_muris_2018_smatseq2
A9.MAA000907.3_11_M.1.1,5135,tabula_muris_2018_smatseq2
B11.MAA000907.3_11_M.1.1,2684,tabula_muris_2018_smatseq2
C14.MAA000907.3_11_M.1.1,3090,tabula_muris_2018_smatseq2
A10.MAA000907.3_11_M.1.1,2272,tabula_muris_2018_smatseq2
B12.MAA000907.3_11_M.1.1,2598,tabula_muris_2018_smatseq2
C15.MAA000907.3_11_M.1.1,1431,tabula_muris_2018_smatseq2
A11.MAA000907.3_11_M.1.1,2608,tabula_muris_2018_smatseq2
B13.MAA000907.3_11_M.1.1,1113,tabula_muris_2018_smatseq2
