,n_genes,dataset
J12.MAA000907.3_11_M.1.1,2469,tabula_muris_2018_smatseq2
K18.MAA000907.3_11_M.1.1,2342,tabula_muris_2018_smatseq2
L21.MAA000907.3_11_M.1.1,2298,tabula_muris_2018_smatseq2
N3.MAA000907.3_11_M.1.1,2515,tabula_muris_2018_smatseq2
J13.MAA000907.3_11_M.1.1,2748,tabula_muris_2018_smatseq2
K20.MAA000907.3_11_M.1.1,2457,tabula_muris_2018_smatseq2
L22.MAA000907.3_11_M.1.1,1651,tabula_muris_2018_smatseq2
N4.MAA000907.3_11_M.1.1,2251,tabula_muris_2018_smatseq2
O6.MAA000907.3_11_M.1.1,1190,tabula_muris_2018_smatseq2
P8.MAA000907.3_11_M.1.1,2179,tabula_muris_2018_smatseq2
M18.MAA000907.3_11_M.1.1,2022,tabula_muris_2018_smatseq2
N21.MAA000907.3_11_M.1.1,2403,tabula_muris_2018_smatseq2
P1.MAA000907.3_11_M.1.1,2731,tabula_muris_2018_smatseq2
H15.MAA000907.3_11_M.1.1,1792,tabula_muris_2018_smatseq2
J5.MAA000907.3_11_M.1.1,1755,tabula_muris_2018_smatseq2
K10.MAA000907.3_11_M.1.1,1935,tabula_muris_2018_smatseq2
L15.MAA000907.3_11_M.1.1,869,tabula_muris_2018_smatseq2
H16.MAA000907.3_11_M.1.1,2640,tabula_muris_2018_smatseq2
J7.MAA000907.3_11_M.1.1,2808,tabula_muris_2018_smatseq2
K11.MAA000907.3_11_M.1.1,1256,tabula_muris_2018_smatseq2
D21.MAA000907.3_11_M.1.1,1696,tabula_muris_2018_smatseq2
F3.MAA000907.3_11_M.1.1,2946,tabula_muris_2018_smatseq2
G7.MAA000907.3_11_M.1.1,2488,tabula_muris_2018_smatseq2
L16.MAA000907.3_11_M.1.1,2434,tabula_muris_2018_smatseq2
D22.MAA000907.3_11_M.1.1,3397,tabula_muris_2018_smatseq2
M20.MAA000907.3_11_M.1.1,2675,tabula_muris_2018_smatseq2
N22.MAA000907.3_11_M.1.1,1315,tabula_muris_2018_smatseq2
P2.MAA000907.3_11_M.1.1,2633,tabula_muris_2018_smatseq2
F4.MAA000907.3_11_M.1.1,3117,tabula_muris_2018_smatseq2
G9.MAA000907.3_11_M.1.1,2444,tabula_muris_2018_smatseq2
H17.MAA000907.3_11_M.1.1,1475,tabula_muris_2018_smatseq2
J8.MAA000907.3_11_M.1.1,2081,tabula_muris_2018_smatseq2
K13.MAA000907.3_11_M.1.1,2261,tabula_muris_2018_smatseq2
L17.MAA000907.3_11_M.1.1,2405,tabula_muris_2018_smatseq2
M21.MAA000907.3_11_M.1.1,2376,tabula_muris_2018_smatseq2
O1.MAA000907.3_11_M.1.1,1860,tabula_muris_2018_smatseq2
P3.MAA000907.3_11_M.1.1,2294,tabula_muris_2018_smatseq2
J9.MAA000907.3_11_M.1.1,2901,tabula_muris_2018_smatseq2
K14.MAA000907.3_11_M.1.1,2652,tabula_muris_2018_smatseq2
L18.MAA000907.3_11_M.1.1,1984,tabula_muris_2018_smatseq2
C18.MAA000907.3_11_M.1.1,2465,tabula_muris_2018_smatseq2
E1.MAA000907.3_11_M.1.1,2102,tabula_muris_2018_smatseq2
F5.MAA000907.3_11_M.1.1,407,tabula_muris_2018_smatseq2
G10.MAA000907.3_11_M.1.1,490,tabula_muris_2018_smatseq2
H18.MAA000907.3_11_M.1.1,1564,tabula_muris_2018_smatseq2
A1.MAA100039.3_11_M.1.1,8865,tabula_muris_2018_smatseq2
B1.MAA100039.3_11_M.1.1,9317,tabula_muris_2018_smatseq2
C1.MAA100039.3_11_M.1.1,8307,tabula_muris_2018_smatseq2
D1.MAA100039.3_11_M.1.1,8356,tabula_muris_2018_smatseq2
E1.MAA100039.3_11_M.1.1,8760,tabula_muris_2018_smatseq2
F2.MAA100039.3_11_M.1.1,2788,tabula_muris_2018_smatseq2
G4.MAA100039.3_11_M.1.1,8160,tabula_muris_2018_smatseq2
A2.MAA100039.3_11_M.1.1,8466,tabula_muris_2018_smatseq2
B2.MAA100039.3_11_M.1.1,193,tabula_muris_2018_smatseq2
C2.MAA100039.3_11_M.1.1,7817,tabula_muris_2018_smatseq2
D2.MAA100039.3_11_M.1.1,8428,tabula_muris_2018_smatseq2
E2.MAA100039.3_11_M.1.1,8541,tabula_muris_2018_smatseq2
F3.MAA100039.3_11_M.1.1,3454,tabula_muris_2018_smatseq2
G5.MAA100039.3_11_M.1.1,693,tabula_muris_2018_smatseq2
A3.MAA100039.3_11_M.1.1,1179,tabula_muris_2018_smatseq2
B3.MAA100039.3_11_M.1.1,8451,tabula_muris_2018_smatseq2
C3.MAA100039.3_11_M.1.1,347,tabula_muris_2018_smatseq2
D3.MAA100039.3_11_M.1.1,1583,tabula_muris_2018_smatseq2
E3.MAA100039.3_11_M.1.1,7989,tabula_muris_2018_smatseq2
F4.MAA100039.3_11_M.1.1,8470,tabula_muris_2018_smatseq2
G6.MAA100039.3_11_M.1.1,8153,tabula_muris_2018_smatseq2
A4.MAA100039.3_11_M.1.1,6572,tabula_muris_2018_smatseq2
B4.MAA100039.3_11_M.1.1,7958,tabula_muris_2018_smatseq2
C4.MAA100039.3_11_M.1.1,1688,tabula_muris_2018_smatseq2
D4.MAA100039.3_11_M.1.1,8416,tabula_muris_2018_smatseq2
E4.MAA100039.3_11_M.1.1,1357,tabula_muris_2018_smatseq2
F5.MAA100039.3_11_M.1.1,8235,tabula_muris_2018_smatseq2
G7.MAA100039.3_11_M.1.1,6180,tabula_muris_2018_smatseq2
A5.MAA100039.3_11_M.1.1,2375,tabula_muris_2018_smatseq2
B5.MAA100039.3_11_M.1.1,6261,tabula_muris_2018_smatseq2
C5.MAA100039.3_11_M.1.1,292,tabula_muris_2018_smatseq2
D5.MAA100039.3_11_M.1.1,1464,tabula_muris_2018_smatseq2
E5.MAA100039.3_11_M.1.1,161,tabula_muris_2018_smatseq2
F6.MAA100039.3_11_M.1.1,5376,tabula_muris_2018_smatseq2
G8.MAA100039.3_11_M.1.1,9466,tabula_muris_2018_smatseq2
D6.MAA100039.3_11_M.1.1,6062,tabula_muris_2018_smatseq2
E6.MAA100039.3_11_M.1.1,189,tabula_muris_2018_smatseq2
F7.MAA100039.3_11_M.1.1,4316,tabula_muris_2018_smatseq2
G9.MAA100039.3_11_M.1.1,6494,tabula_muris_2018_smatseq2
A6.MAA100039.3_11_M.1.1,8900,tabula_muris_2018_smatseq2
B6.MAA100039.3_11_M.1.1,5309,tabula_muris_2018_smatseq2
C6.MAA100039.3_11_M.1.1,8439,tabula_muris_2018_smatseq2
F8.MAA100039.3_11_M.1.1,4298,tabula_muris_2018_smatseq2
G10.MAA100039.3_11_M.1.1,3687,tabula_muris_2018_smatseq2
A7.MAA100039.3_11_M.1.1,426,tabula_muris_2018_smatseq2
B7.MAA100039.3_11_M.1.1,1303,tabula_muris_2018_smatseq2
C7.MAA100039.3_11_M.1.1,253,tabula_muris_2018_smatseq2
D7.MAA100039.3_11_M.1.1,6108,tabula_muris_2018_smatseq2
E7.MAA100039.3_11_M.1.1,1012,tabula_muris_2018_smatseq2
G11.MAA100039.3_11_M.1.1,8091,tabula_muris_2018_smatseq2
A8.MAA100039.3_11_M.1.1,324,tabula_muris_2018_smatseq2
B8.MAA100039.3_11_M.1.1,214,tabula_muris_2018_smatseq2
C8.MAA100039.3_11_M.1.1,2349,tabula_muris_2018_smatseq2
D8.MAA100039.3_11_M.1.1,7400,tabula_muris_2018_smatseq2
E8.MAA100039.3_11_M.1.1,4666,tabula_muris_2018_smatseq2
F9.MAA100039.3_11_M.1.1,3706,tabula_muris_2018_smatseq2
F12.MAA100039.3_11_M.1.1,5169,tabula_muris_2018_smatseq2
G12.MAA100039.3_11_M.1.1,5673,tabula_muris_2018_smatseq2
A9.MAA100039.3_11_M.1.1,1956,tabula_muris_2018_smatseq2
B9.MAA100039.3_11_M.1.1,2547,tabula_muris_2018_smatseq2
C9.MAA100039.3_11_M.1.1,7856,tabula_muris_2018_smatseq2
D9.MAA100039.3_11_M.1.1,5484,tabula_muris_2018_smatseq2
E10.MAA100039.3_11_M.1.1,8382,tabula_muris_2018_smatseq2
A10.MAA100039.3_11_M.1.1,326,tabula_muris_2018_smatseq2
B10.MAA100039.3_11_M.1.1,1056,tabula_muris_2018_smatseq2
A11.MAA100039.3_11_M.1.1,270,tabula_muris_2018_smatseq2
B11.MAA100039.3_11_M.1.1,4789,tabula_muris_2018_smatseq2
C10.MAA100039.3_11_M.1.1,8441,tabula_muris_2018_smatseq2
D10.MAA100039.3_11_M.1.1,7373,tabula_muris_2018_smatseq2
E11.MAA100039.3_11_M.1.1,8121,tabula_muris_2018_smatseq2
C11.MAA100039.3_11_M.1.1,8128,tabula_muris_2018_smatseq2
A12.MAA100039.3_11_M.1.1,326,tabula_muris_2018_smatseq2
B12.MAA100039.3_11_M.1.1,4366,tabula_muris_2018_smatseq2
D11.MAA100039.3_11_M.1.1,8494,tabula_muris_2018_smatseq2
C12.MAA100039.3_11_M.1.1,1045,tabula_muris_2018_smatseq2
E12.MAA100039.3_11_M.1.1,477,tabula_muris_2018_smatseq2
D12.MAA100039.3_11_M.1.1,1779,tabula_muris_2018_smatseq2
G2.MAA100039.3_11_M.1.1,1049,tabula_muris_2018_smatseq2
F1.MAA100039.3_11_M.1.1,6284,tabula_muris_2018_smatseq2
G3.MAA100039.3_11_M.1.1,854,tabula_muris_2018_smatseq2
H3.MAA100039.3_11_M.1.1,558,tabula_muris_2018_smatseq2
G1.MAA100039.3_11_M.1.1,348,tabula_muris_2018_smatseq2
H4.MAA100039.3_11_M.1.1,1321,tabula_muris_2018_smatseq2
H6.MAA100039.3_11_M.1.1,332,tabula_muris_2018_smatseq2
H9.MAA100039.3_11_M.1.1,295,tabula_muris_2018_smatseq2
H12.MAA100039.3_11_M.1.1,332,tabula_muris_2018_smatseq2
H5.MAA100039.3_11_M.1.1,391,tabula_muris_2018_smatseq2
H7.MAA100039.3_11_M.1.1,7959,tabula_muris_2018_smatseq2
H8.MAA100039.3_11_M.1.1,4286,tabula_muris_2018_smatseq2
H10.MAA100039.3_11_M.1.1,1385,tabula_muris_2018_smatseq2
H11.MAA100039.3_11_M.1.1,8151,tabula_muris_2018_smatseq2
H1.MAA100039.3_11_M.1.1,4901,tabula_muris_2018_smatseq2
H2.MAA100039.3_11_M.1.1,1173,tabula_muris_2018_smatseq2
F1.MAA100040.3_11_M.1.1,258,tabula_muris_2018_smatseq2
G1.MAA100040.3_11_M.1.1,323,tabula_muris_2018_smatseq2
H1.MAA100040.3_11_M.1.1,997,tabula_muris_2018_smatseq2
B1.MAA100040.3_11_M.1.1,8033,tabula_muris_2018_smatseq2
C1.MAA100040.3_11_M.1.1,996,tabula_muris_2018_smatseq2
D1.MAA100040.3_11_M.1.1,194,tabula_muris_2018_smatseq2
E1.MAA100040.3_11_M.1.1,496,tabula_muris_2018_smatseq2
E2.MAA100040.3_11_M.1.1,193,tabula_muris_2018_smatseq2
F2.MAA100040.3_11_M.1.1,463,tabula_muris_2018_smatseq2
G2.MAA100040.3_11_M.1.1,8162,tabula_muris_2018_smatseq2
H2.MAA100040.3_11_M.1.1,177,tabula_muris_2018_smatseq2
F4.MAA100040.3_11_M.1.1,185,tabula_muris_2018_smatseq2
G4.MAA100040.3_11_M.1.1,7960,tabula_muris_2018_smatseq2
H4.MAA100040.3_11_M.1.1,94,tabula_muris_2018_smatseq2
A3.MAA100040.3_11_M.1.1,8086,tabula_muris_2018_smatseq2
B4.MAA100040.3_11_M.1.1,7778,tabula_muris_2018_smatseq2
C4.MAA100040.3_11_M.1.1,7406,tabula_muris_2018_smatseq2
D4.MAA100040.3_11_M.1.1,8144,tabula_muris_2018_smatseq2
E4.MAA100040.3_11_M.1.1,209,tabula_muris_2018_smatseq2
B2.MAA100040.3_11_M.1.1,1617,tabula_muris_2018_smatseq2
C2.MAA100040.3_11_M.1.1,690,tabula_muris_2018_smatseq2
D2.MAA100040.3_11_M.1.1,1349,tabula_muris_2018_smatseq2
A1.MAA100040.3_11_M.1.1,188,tabula_muris_2018_smatseq2
A2.MAA100040.3_11_M.1.1,7777,tabula_muris_2018_smatseq2
B3.MAA100040.3_11_M.1.1,7351,tabula_muris_2018_smatseq2
C3.MAA100040.3_11_M.1.1,179,tabula_muris_2018_smatseq2
D3.MAA100040.3_11_M.1.1,7953,tabula_muris_2018_smatseq2
E3.MAA100040.3_11_M.1.1,4988,tabula_muris_2018_smatseq2
F3.MAA100040.3_11_M.1.1,8119,tabula_muris_2018_smatseq2
G3.MAA100040.3_11_M.1.1,142,tabula_muris_2018_smatseq2
H3.MAA100040.3_11_M.1.1,2532,tabula_muris_2018_smatseq2
A4.MAA100040.3_11_M.1.1,492,tabula_muris_2018_smatseq2
B5.MAA100040.3_11_M.1.1,200,tabula_muris_2018_smatseq2
C5.MAA100040.3_11_M.1.1,299,tabula_muris_2018_smatseq2
D5.MAA100040.3_11_M.1.1,6201,tabula_muris_2018_smatseq2
E5.MAA100040.3_11_M.1.1,927,tabula_muris_2018_smatseq2
F5.MAA100040.3_11_M.1.1,894,tabula_muris_2018_smatseq2
G5.MAA100040.3_11_M.1.1,3795,tabula_muris_2018_smatseq2
H5.MAA100040.3_11_M.1.1,125,tabula_muris_2018_smatseq2
C6.MAA100040.3_11_M.1.1,7914,tabula_muris_2018_smatseq2
D6.MAA100040.3_11_M.1.1,182,tabula_muris_2018_smatseq2
E6.MAA100040.3_11_M.1.1,210,tabula_muris_2018_smatseq2
F6.MAA100040.3_11_M.1.1,4553,tabula_muris_2018_smatseq2
G6.MAA100040.3_11_M.1.1,7827,tabula_muris_2018_smatseq2
H6.MAA100040.3_11_M.1.1,163,tabula_muris_2018_smatseq2
D7.MAA100040.3_11_M.1.1,176,tabula_muris_2018_smatseq2
E7.MAA100040.3_11_M.1.1,7901,tabula_muris_2018_smatseq2
F7.MAA100040.3_11_M.1.1,1157,tabula_muris_2018_smatseq2
G7.MAA100040.3_11_M.1.1,2264,tabula_muris_2018_smatseq2
H7.MAA100040.3_11_M.1.1,144,tabula_muris_2018_smatseq2
C8.MAA100040.3_11_M.1.1,267,tabula_muris_2018_smatseq2
D8.MAA100040.3_11_M.1.1,212,tabula_muris_2018_smatseq2
E8.MAA100040.3_11_M.1.1,1140,tabula_muris_2018_smatseq2
F8.MAA100040.3_11_M.1.1,4371,tabula_muris_2018_smatseq2
G8.MAA100040.3_11_M.1.1,75,tabula_muris_2018_smatseq2
H8.MAA100040.3_11_M.1.1,155,tabula_muris_2018_smatseq2
C9.MAA100040.3_11_M.1.1,115,tabula_muris_2018_smatseq2
D9.MAA100040.3_11_M.1.1,185,tabula_muris_2018_smatseq2
E9.MAA100040.3_11_M.1.1,227,tabula_muris_2018_smatseq2
F9.MAA100040.3_11_M.1.1,7280,tabula_muris_2018_smatseq2
G9.MAA100040.3_11_M.1.1,300,tabula_muris_2018_smatseq2
H9.MAA100040.3_11_M.1.1,239,tabula_muris_2018_smatseq2
B10.MAA100040.3_11_M.1.1,2451,tabula_muris_2018_smatseq2
C10.MAA100040.3_11_M.1.1,7343,tabula_muris_2018_smatseq2
D10.MAA100040.3_11_M.1.1,188,tabula_muris_2018_smatseq2
E10.MAA100040.3_11_M.1.1,213,tabula_muris_2018_smatseq2
F10.MAA100040.3_11_M.1.1,201,tabula_muris_2018_smatseq2
G10.MAA100040.3_11_M.1.1,234,tabula_muris_2018_smatseq2
A11.MAA100040.3_11_M.1.1,359,tabula_muris_2018_smatseq2
B11.MAA100040.3_11_M.1.1,95,tabula_muris_2018_smatseq2
C11.MAA100040.3_11_M.1.1,192,tabula_muris_2018_smatseq2
D11.MAA100040.3_11_M.1.1,248,tabula_muris_2018_smatseq2
A12.MAA100040.3_11_M.1.1,362,tabula_muris_2018_smatseq2
B12.MAA100040.3_11_M.1.1,251,tabula_muris_2018_smatseq2
A5.MAA100040.3_11_M.1.1,719,tabula_muris_2018_smatseq2
B6.MAA100040.3_11_M.1.1,7687,tabula_muris_2018_smatseq2
C7.MAA100040.3_11_M.1.1,7838,tabula_muris_2018_smatseq2
A6.MAA100040.3_11_M.1.1,7606,tabula_muris_2018_smatseq2
B7.MAA100040.3_11_M.1.1,7284,tabula_muris_2018_smatseq2
A7.MAA100040.3_11_M.1.1,1795,tabula_muris_2018_smatseq2
B8.MAA100040.3_11_M.1.1,4404,tabula_muris_2018_smatseq2
A9.MAA100040.3_11_M.1.1,1602,tabula_muris_2018_smatseq2
B9.MAA100040.3_11_M.1.1,207,tabula_muris_2018_smatseq2
A10.MAA100040.3_11_M.1.1,257,tabula_muris_2018_smatseq2
H10.MAA100040.3_11_M.1.1,169,tabula_muris_2018_smatseq2
E11.MAA100040.3_11_M.1.1,305,tabula_muris_2018_smatseq2
F11.MAA100040.3_11_M.1.1,125,tabula_muris_2018_smatseq2
G11.MAA100040.3_11_M.1.1,180,tabula_muris_2018_smatseq2
H11.MAA100040.3_11_M.1.1,1731,tabula_muris_2018_smatseq2
C12.MAA100040.3_11_M.1.1,216,tabula_muris_2018_smatseq2
D12.MAA100040.3_11_M.1.1,307,tabula_muris_2018_smatseq2
E12.MAA100040.3_11_M.1.1,250,tabula_muris_2018_smatseq2
F12.MAA100040.3_11_M.1.1,265,tabula_muris_2018_smatseq2
G12.MAA100040.3_11_M.1.1,172,tabula_muris_2018_smatseq2
H12.MAA100040.3_11_M.1.1,1707,tabula_muris_2018_smatseq2
C12.MAA100138.3_56_F.1.1,168,tabula_muris_2018_smatseq2
D12.MAA100138.3_56_F.1.1,7998,tabula_muris_2018_smatseq2
E12.MAA100138.3_56_F.1.1,512,tabula_muris_2018_smatseq2
F12.MAA100138.3_56_F.1.1,350,tabula_muris_2018_smatseq2
G12.MAA100138.3_56_F.1.1,251,tabula_muris_2018_smatseq2
H12.MAA100138.3_56_F.1.1,5081,tabula_muris_2018_smatseq2
A2.MAA100138.3_56_F.1.1,7128,tabula_muris_2018_smatseq2
B2.MAA100138.3_56_F.1.1,7384,tabula_muris_2018_smatseq2
C2.MAA100138.3_56_F.1.1,7207,tabula_muris_2018_smatseq2
A3.MAA100138.3_56_F.1.1,7048,tabula_muris_2018_smatseq2
B3.MAA100138.3_56_F.1.1,7318,tabula_muris_2018_smatseq2
C3.MAA100138.3_56_F.1.1,6879,tabula_muris_2018_smatseq2
A1.MAA100138.3_56_F.1.1,7162,tabula_muris_2018_smatseq2
B1.MAA100138.3_56_F.1.1,7576,tabula_muris_2018_smatseq2
C1.MAA100138.3_56_F.1.1,7149,tabula_muris_2018_smatseq2
A4.MAA100138.3_56_F.1.1,6971,tabula_muris_2018_smatseq2
B4.MAA100138.3_56_F.1.1,7483,tabula_muris_2018_smatseq2
C4.MAA100138.3_56_F.1.1,4201,tabula_muris_2018_smatseq2
D9.MAA100138.3_56_F.1.1,1072,tabula_muris_2018_smatseq2
E9.MAA100138.3_56_F.1.1,648,tabula_muris_2018_smatseq2
F9.MAA100138.3_56_F.1.1,8419,tabula_muris_2018_smatseq2
G9.MAA100138.3_56_F.1.1,955,tabula_muris_2018_smatseq2
H9.MAA100138.3_56_F.1.1,852,tabula_muris_2018_smatseq2
G10.MAA100138.3_56_F.1.1,8406,tabula_muris_2018_smatseq2
H10.MAA100138.3_56_F.1.1,359,tabula_muris_2018_smatseq2
C10.MAA100138.3_56_F.1.1,176,tabula_muris_2018_smatseq2
D10.MAA100138.3_56_F.1.1,818,tabula_muris_2018_smatseq2
E10.MAA100138.3_56_F.1.1,8281,tabula_muris_2018_smatseq2
F10.MAA100138.3_56_F.1.1,689,tabula_muris_2018_smatseq2
C11.MAA100138.3_56_F.1.1,8396,tabula_muris_2018_smatseq2
D11.MAA100138.3_56_F.1.1,8304,tabula_muris_2018_smatseq2
E11.MAA100138.3_56_F.1.1,8371,tabula_muris_2018_smatseq2
F11.MAA100138.3_56_F.1.1,865,tabula_muris_2018_smatseq2
G11.MAA100138.3_56_F.1.1,4788,tabula_muris_2018_smatseq2
H11.MAA100138.3_56_F.1.1,3332,tabula_muris_2018_smatseq2
B10.MAA100138.3_56_F.1.1,1229,tabula_muris_2018_smatseq2
A11.MAA100138.3_56_F.1.1,3835,tabula_muris_2018_smatseq2
B11.MAA100138.3_56_F.1.1,700,tabula_muris_2018_smatseq2
A5.MAA100138.3_56_F.1.1,544,tabula_muris_2018_smatseq2
B5.MAA100138.3_56_F.1.1,7227,tabula_muris_2018_smatseq2
A6.MAA100138.3_56_F.1.1,7820,tabula_muris_2018_smatseq2
B6.MAA100138.3_56_F.1.1,764,tabula_muris_2018_smatseq2
A7.MAA100138.3_56_F.1.1,8374,tabula_muris_2018_smatseq2
B7.MAA100138.3_56_F.1.1,679,tabula_muris_2018_smatseq2
A8.MAA100138.3_56_F.1.1,8360,tabula_muris_2018_smatseq2
B8.MAA100138.3_56_F.1.1,7151,tabula_muris_2018_smatseq2
A9.MAA100138.3_56_F.1.1,1162,tabula_muris_2018_smatseq2
B9.MAA100138.3_56_F.1.1,3255,tabula_muris_2018_smatseq2
A10.MAA100138.3_56_F.1.1,3427,tabula_muris_2018_smatseq2
A12.MAA100138.3_56_F.1.1,167,tabula_muris_2018_smatseq2
B12.MAA100138.3_56_F.1.1,172,tabula_muris_2018_smatseq2
E2.MAA100138.3_56_F.1.1,7293,tabula_muris_2018_smatseq2
F2.MAA100138.3_56_F.1.1,6818,tabula_muris_2018_smatseq2
G2.MAA100138.3_56_F.1.1,7149,tabula_muris_2018_smatseq2
D2.MAA100138.3_56_F.1.1,6757,tabula_muris_2018_smatseq2
D3.MAA100138.3_56_F.1.1,841,tabula_muris_2018_smatseq2
E3.MAA100138.3_56_F.1.1,4390,tabula_muris_2018_smatseq2
F3.MAA100138.3_56_F.1.1,7113,tabula_muris_2018_smatseq2
G3.MAA100138.3_56_F.1.1,202,tabula_muris_2018_smatseq2
H3.MAA100138.3_56_F.1.1,6257,tabula_muris_2018_smatseq2
E5.MAA100138.3_56_F.1.1,7311,tabula_muris_2018_smatseq2
F5.MAA100138.3_56_F.1.1,6708,tabula_muris_2018_smatseq2
G5.MAA100138.3_56_F.1.1,7502,tabula_muris_2018_smatseq2
C5.MAA100138.3_56_F.1.1,292,tabula_muris_2018_smatseq2
D5.MAA100138.3_56_F.1.1,6388,tabula_muris_2018_smatseq2
D6.MAA100138.3_56_F.1.1,849,tabula_muris_2018_smatseq2
E6.MAA100138.3_56_F.1.1,752,tabula_muris_2018_smatseq2
F6.MAA100138.3_56_F.1.1,6943,tabula_muris_2018_smatseq2
G6.MAA100138.3_56_F.1.1,851,tabula_muris_2018_smatseq2
H6.MAA100138.3_56_F.1.1,1219,tabula_muris_2018_smatseq2
E8.MAA100138.3_56_F.1.1,8070,tabula_muris_2018_smatseq2
F8.MAA100138.3_56_F.1.1,8043,tabula_muris_2018_smatseq2
G8.MAA100138.3_56_F.1.1,1437,tabula_muris_2018_smatseq2
C8.MAA100138.3_56_F.1.1,7992,tabula_muris_2018_smatseq2
D8.MAA100138.3_56_F.1.1,261,tabula_muris_2018_smatseq2
D1.MAA100138.3_56_F.1.1,7160,tabula_muris_2018_smatseq2
E1.MAA100138.3_56_F.1.1,7086,tabula_muris_2018_smatseq2
F1.MAA100138.3_56_F.1.1,6524,tabula_muris_2018_smatseq2
G1.MAA100138.3_56_F.1.1,1159,tabula_muris_2018_smatseq2
H1.MAA100138.3_56_F.1.1,6981,tabula_muris_2018_smatseq2
H2.MAA100138.3_56_F.1.1,7029,tabula_muris_2018_smatseq2
D4.MAA100138.3_56_F.1.1,6857,tabula_muris_2018_smatseq2
E4.MAA100138.3_56_F.1.1,4358,tabula_muris_2018_smatseq2
F4.MAA100138.3_56_F.1.1,7103,tabula_muris_2018_smatseq2
G4.MAA100138.3_56_F.1.1,6206,tabula_muris_2018_smatseq2
H4.MAA100138.3_56_F.1.1,164,tabula_muris_2018_smatseq2
H5.MAA100138.3_56_F.1.1,7706,tabula_muris_2018_smatseq2
C6.MAA100138.3_56_F.1.1,1003,tabula_muris_2018_smatseq2
C7.MAA100138.3_56_F.1.1,3924,tabula_muris_2018_smatseq2
D7.MAA100138.3_56_F.1.1,655,tabula_muris_2018_smatseq2
E7.MAA100138.3_56_F.1.1,1305,tabula_muris_2018_smatseq2
F7.MAA100138.3_56_F.1.1,2849,tabula_muris_2018_smatseq2
G7.MAA100138.3_56_F.1.1,1199,tabula_muris_2018_smatseq2
H7.MAA100138.3_56_F.1.1,192,tabula_muris_2018_smatseq2
H8.MAA100138.3_56_F.1.1,1123,tabula_muris_2018_smatseq2
C9.MAA100138.3_56_F.1.1,267,tabula_muris_2018_smatseq2
C1.MAA100140.3_57_F.1.1,7581,tabula_muris_2018_smatseq2
D1.MAA100140.3_57_F.1.1,7342,tabula_muris_2018_smatseq2
E1.MAA100140.3_57_F.1.1,844,tabula_muris_2018_smatseq2
F1.MAA100140.3_57_F.1.1,6066,tabula_muris_2018_smatseq2
G1.MAA100140.3_57_F.1.1,6355,tabula_muris_2018_smatseq2
H1.MAA100140.3_57_F.1.1,6845,tabula_muris_2018_smatseq2
C2.MAA100140.3_57_F.1.1,6695,tabula_muris_2018_smatseq2
D2.MAA100140.3_57_F.1.1,7881,tabula_muris_2018_smatseq2
E2.MAA100140.3_57_F.1.1,7319,tabula_muris_2018_smatseq2
F2.MAA100140.3_57_F.1.1,3944,tabula_muris_2018_smatseq2
G2.MAA100140.3_57_F.1.1,303,tabula_muris_2018_smatseq2
H2.MAA100140.3_57_F.1.1,3477,tabula_muris_2018_smatseq2
C3.MAA100140.3_57_F.1.1,7034,tabula_muris_2018_smatseq2
D3.MAA100140.3_57_F.1.1,213,tabula_muris_2018_smatseq2
E3.MAA100140.3_57_F.1.1,7428,tabula_muris_2018_smatseq2
F3.MAA100140.3_57_F.1.1,722,tabula_muris_2018_smatseq2
G3.MAA100140.3_57_F.1.1,874,tabula_muris_2018_smatseq2
H3.MAA100140.3_57_F.1.1,6903,tabula_muris_2018_smatseq2
C4.MAA100140.3_57_F.1.1,6834,tabula_muris_2018_smatseq2
D4.MAA100140.3_57_F.1.1,6752,tabula_muris_2018_smatseq2
E4.MAA100140.3_57_F.1.1,6843,tabula_muris_2018_smatseq2
F4.MAA100140.3_57_F.1.1,6896,tabula_muris_2018_smatseq2
G4.MAA100140.3_57_F.1.1,749,tabula_muris_2018_smatseq2
H4.MAA100140.3_57_F.1.1,6690,tabula_muris_2018_smatseq2
E5.MAA100140.3_57_F.1.1,7244,tabula_muris_2018_smatseq2
F5.MAA100140.3_57_F.1.1,702,tabula_muris_2018_smatseq2
G5.MAA100140.3_57_F.1.1,476,tabula_muris_2018_smatseq2
H5.MAA100140.3_57_F.1.1,772,tabula_muris_2018_smatseq2
C5.MAA100140.3_57_F.1.1,7097,tabula_muris_2018_smatseq2
D5.MAA100140.3_57_F.1.1,6899,tabula_muris_2018_smatseq2
C7.MAA100140.3_57_F.1.1,8276,tabula_muris_2018_smatseq2
D7.MAA100140.3_57_F.1.1,168,tabula_muris_2018_smatseq2
C6.MAA100140.3_57_F.1.1,1370,tabula_muris_2018_smatseq2
E7.MAA100140.3_57_F.1.1,8717,tabula_muris_2018_smatseq2
F7.MAA100140.3_57_F.1.1,8426,tabula_muris_2018_smatseq2
G7.MAA100140.3_57_F.1.1,140,tabula_muris_2018_smatseq2
D6.MAA100140.3_57_F.1.1,7012,tabula_muris_2018_smatseq2
E6.MAA100140.3_57_F.1.1,1628,tabula_muris_2018_smatseq2
F6.MAA100140.3_57_F.1.1,6839,tabula_muris_2018_smatseq2
G6.MAA100140.3_57_F.1.1,6896,tabula_muris_2018_smatseq2
H6.MAA100140.3_57_F.1.1,796,tabula_muris_2018_smatseq2
H7.MAA100140.3_57_F.1.1,624,tabula_muris_2018_smatseq2
