,gene_name,dataset
184,Mob4,old_10X_cruk
185,Rftn2,old_10X_cruk
186,Mars2,old_10X_cruk
187,Boll,old_10X_cruk
188,Plcl1,old_10X_cruk
189,1700003I22Rik,old_10X_cruk
190,Hsfy2,old_10X_cruk
191,Satb2,old_10X_cruk
192,9130024F11Rik,old_10X_cruk
193,4930558J18Rik,old_10X_cruk
194,1700066M21Rik,old_10X_cruk
195,Tyw5,old_10X_cruk
196,Maip1,old_10X_cruk
197,Spats2l,old_10X_cruk
198,Kctd18,old_10X_cruk
199,Sgo2a,old_10X_cruk
200,Aox1,old_10X_cruk
201,Aox3,old_10X_cruk
202,Bzw1,old_10X_cruk
203,Clk1,old_10X_cruk
204,Ppil3,old_10X_cruk
205,Nif3l1,old_10X_cruk
206,Orc2,old_10X_cruk
207,Gm15834,old_10X_cruk
208,Fam126b,old_10X_cruk
209,Ndufb3,old_10X_cruk
210,Flacc1,old_10X_cruk
211,Cflar,old_10X_cruk
212,Casp8,old_10X_cruk
213,Trak2,old_10X_cruk
214,Stradb,old_10X_cruk
215,Tmem237,old_10X_cruk
216,G730003C15Rik,old_10X_cruk
217,Mpp4,old_10X_cruk
218,Als2,old_10X_cruk
219,Cdk15,old_10X_cruk
220,Fzd7,old_10X_cruk
221,Gm973,old_10X_cruk
222,Sumo1,old_10X_cruk
223,Nop58,old_10X_cruk
224,Bmpr2,old_10X_cruk
225,Fam117b,old_10X_cruk
226,Ica1l,old_10X_cruk
227,Wdr12,old_10X_cruk
228,Carf,old_10X_cruk
229,Nbeal1,old_10X_cruk
230,Cyp20a1,old_10X_cruk
231,Abi2,old_10X_cruk
232,Raph1,old_10X_cruk
233,Icos,old_10X_cruk
234,Pard3b,old_10X_cruk
235,Pard3bos3,old_10X_cruk
236,Nrp2,old_10X_cruk
237,Ino80d,old_10X_cruk
238,Ino80dos,old_10X_cruk
239,Gm20342,old_10X_cruk
240,Ndufs1,old_10X_cruk
241,Eef1b2,old_10X_cruk
242,Zdbf2,old_10X_cruk
243,Adam23,old_10X_cruk
244,Fastkd2,old_10X_cruk
245,Klf7,old_10X_cruk
246,Creb1,old_10X_cruk
247,Mettl21a,old_10X_cruk
248,2810408I11Rik,old_10X_cruk
249,Ccnyl1,old_10X_cruk
250,Fzd5,old_10X_cruk
251,Plekhm3,old_10X_cruk
252,Akr1cl,old_10X_cruk
253,D630023F18Rik,old_10X_cruk
254,Idh1,old_10X_cruk
255,Pikfyve,old_10X_cruk
256,Map2,old_10X_cruk
257,Rpe,old_10X_cruk
258,Kansl1l,old_10X_cruk
259,Acadl,old_10X_cruk
260,Lancl1,old_10X_cruk
261,Cps1,old_10X_cruk
262,Erbb4,old_10X_cruk
263,Ikzf2,old_10X_cruk
264,Gm29112,old_10X_cruk
265,Bard1,old_10X_cruk
266,Atic,old_10X_cruk
267,Fn1,old_10X_cruk
268,Apol7d,old_10X_cruk
269,Gm8883,old_10X_cruk
270,Gm28818,old_10X_cruk
271,Mreg,old_10X_cruk
272,Pecr,old_10X_cruk
273,Tmem169,old_10X_cruk
274,Xrcc5,old_10X_cruk
275,Smarcal1,old_10X_cruk
276,Ankar,old_10X_cruk
277,Rpl37a,old_10X_cruk
278,Igfbp2,old_10X_cruk
279,Igfbp5,old_10X_cruk
280,1700027A15Rik,old_10X_cruk
281,Tnp1,old_10X_cruk
282,Tns1,old_10X_cruk
283,Rufy4,old_10X_cruk
284,Cxcr2,old_10X_cruk
285,Arpc2,old_10X_cruk
286,Aamp,old_10X_cruk
287,Pnkd,old_10X_cruk
288,Tmbim1,old_10X_cruk
289,Gm29358,old_10X_cruk
290,Slc11a1,old_10X_cruk
291,Ctdsp1,old_10X_cruk
292,Vil1,old_10X_cruk
293,Usp37,old_10X_cruk
294,Cnot9,old_10X_cruk
295,Plcd4,old_10X_cruk
296,Zfp142,old_10X_cruk
297,Bcs1l,old_10X_cruk
298,Rnf25,old_10X_cruk
299,Stk36,old_10X_cruk
300,Ttll4,old_10X_cruk
301,Cyp27a1,old_10X_cruk
302,Prkag3,old_10X_cruk
303,Cfap65,old_10X_cruk
304,Ihh,old_10X_cruk
305,Nhej1,old_10X_cruk
