,n_genes,dataset
SLX-19577.i707_i518,141,snRNAseq2_old_buffer
SLX-19577.i707_i520,2086,snRNAseq2_old_buffer
SLX-19577.i707_i521,2061,snRNAseq2_old_buffer
SLX-19577.i707_i522,2317,snRNAseq2_old_buffer
SLX-19577.i710_i502,4604,snRNAseq2_old_buffer
SLX-19577.i710_i503,2308,snRNAseq2_old_buffer
SLX-19577.i710_i505,181,snRNAseq2_old_buffer
SLX-19577.i710_i506,1249,snRNAseq2_old_buffer
SLX-19577.i710_i507,2203,snRNAseq2_old_buffer
SLX-19577.i710_i508,508,snRNAseq2_old_buffer
SLX-19577.i710_i510,722,snRNAseq2_old_buffer
SLX-19577.i710_i511,221,snRNAseq2_old_buffer
SLX-19577.i710_i513,1242,snRNAseq2_old_buffer
SLX-19577.i710_i515,354,snRNAseq2_old_buffer
SLX-19577.i710_i516,587,snRNAseq2_old_buffer
SLX-19577.i710_i517,190,snRNAseq2_old_buffer
SLX-19577.i710_i518,1491,snRNAseq2_old_buffer
SLX-19577.i710_i520,820,snRNAseq2_old_buffer
SLX-19577.i710_i521,2191,snRNAseq2_old_buffer
SLX-19577.i710_i522,286,snRNAseq2_old_buffer
SLX-19577.i711_i502,927,snRNAseq2_old_buffer
SLX-19577.i711_i503,2258,snRNAseq2_old_buffer
SLX-19577.i711_i505,749,snRNAseq2_old_buffer
SLX-19577.i711_i506,241,snRNAseq2_old_buffer
SLX-19577.i711_i507,87,snRNAseq2_old_buffer
SLX-19577.i711_i508,2495,snRNAseq2_old_buffer
SLX-19577.i711_i510,363,snRNAseq2_old_buffer
SLX-19577.i711_i511,106,snRNAseq2_old_buffer
SLX-19577.i711_i513,1082,snRNAseq2_old_buffer
SLX-19577.i711_i515,498,snRNAseq2_old_buffer
SLX-19577.i711_i516,861,snRNAseq2_old_buffer
SLX-19577.i711_i517,1457,snRNAseq2_old_buffer
SLX-19577.i711_i518,1917,snRNAseq2_old_buffer
SLX-19577.i711_i520,808,snRNAseq2_old_buffer
SLX-19577.i711_i521,381,snRNAseq2_old_buffer
SLX-19577.i711_i522,951,snRNAseq2_old_buffer
SLX-19577.i712_i502,560,snRNAseq2_old_buffer
SLX-19577.i712_i503,1979,snRNAseq2_old_buffer
SLX-19577.i712_i505,226,snRNAseq2_old_buffer
SLX-19577.i712_i506,104,snRNAseq2_old_buffer
SLX-19577.i712_i507,834,snRNAseq2_old_buffer
SLX-19577.i712_i508,167,snRNAseq2_old_buffer
SLX-19577.i712_i510,91,snRNAseq2_old_buffer
SLX-19577.i712_i511,121,snRNAseq2_old_buffer
SLX-19577.i712_i513,258,snRNAseq2_old_buffer
SLX-19577.i712_i515,881,snRNAseq2_old_buffer
SLX-19577.i712_i516,1731,snRNAseq2_old_buffer
SLX-19577.i712_i517,726,snRNAseq2_old_buffer
SLX-19577.i712_i518,369,snRNAseq2_old_buffer
SLX-19577.i712_i520,2170,snRNAseq2_old_buffer
SLX-19577.i712_i521,634,snRNAseq2_old_buffer
SLX-19577.i712_i522,838,snRNAseq2_old_buffer
SLX-19577.i714_i502,1823,snRNAseq2_old_buffer
SLX-19577.i714_i503,3415,snRNAseq2_old_buffer
SLX-19577.i714_i505,1456,snRNAseq2_old_buffer
SLX-19577.i714_i506,1894,snRNAseq2_old_buffer
SLX-19577.i714_i507,130,snRNAseq2_old_buffer
SLX-19577.i714_i508,2650,snRNAseq2_old_buffer
SLX-19577.i714_i510,968,snRNAseq2_old_buffer
SLX-19577.i714_i511,552,snRNAseq2_old_buffer
SLX-19577.i714_i513,1834,snRNAseq2_old_buffer
SLX-19577.i714_i515,1254,snRNAseq2_old_buffer
SLX-19577.i714_i516,1213,snRNAseq2_old_buffer
SLX-19577.i714_i517,534,snRNAseq2_old_buffer
SLX-19577.i714_i518,1066,snRNAseq2_old_buffer
SLX-19577.i714_i520,1256,snRNAseq2_old_buffer
SLX-19577.i714_i521,1700,snRNAseq2_old_buffer
SLX-19577.i714_i522,1036,snRNAseq2_old_buffer
SLX-19577.i715_i502,2473,snRNAseq2_old_buffer
SLX-19577.i715_i503,2333,snRNAseq2_old_buffer
SLX-19577.i715_i505,106,snRNAseq2_old_buffer
SLX-19577.i715_i506,2039,snRNAseq2_old_buffer
SLX-19577.i715_i507,970,snRNAseq2_old_buffer
SLX-19577.i715_i508,645,snRNAseq2_old_buffer
SLX-19577.i715_i510,1349,snRNAseq2_old_buffer
SLX-19577.i715_i511,196,snRNAseq2_old_buffer
SLX-19577.i715_i513,192,snRNAseq2_old_buffer
SLX-19577.i715_i515,271,snRNAseq2_old_buffer
SLX-19577.i715_i516,2065,snRNAseq2_old_buffer
SLX-19577.i715_i517,161,snRNAseq2_old_buffer
SLX-19577.i715_i518,1906,snRNAseq2_old_buffer
SLX-19577.i715_i520,170,snRNAseq2_old_buffer
SLX-19577.i715_i521,1329,snRNAseq2_old_buffer
SLX-19577.i715_i522,257,snRNAseq2_old_buffer
SLX-19577.i716_i502,3197,snRNAseq2_old_buffer
SLX-19577.i716_i503,4209,snRNAseq2_old_buffer
SLX-19577.i716_i505,745,snRNAseq2_old_buffer
SLX-19577.i716_i506,1186,snRNAseq2_old_buffer
SLX-19577.i716_i507,1245,snRNAseq2_old_buffer
SLX-19577.i716_i508,2288,snRNAseq2_old_buffer
SLX-19577.i716_i510,1672,snRNAseq2_old_buffer
SLX-19577.i716_i511,862,snRNAseq2_old_buffer
SLX-19577.i716_i513,1498,snRNAseq2_old_buffer
SLX-19577.i716_i515,1128,snRNAseq2_old_buffer
SLX-19577.i716_i516,896,snRNAseq2_old_buffer
SLX-19577.i716_i517,942,snRNAseq2_old_buffer
SLX-19577.i716_i518,461,snRNAseq2_old_buffer
SLX-19577.i716_i520,242,snRNAseq2_old_buffer
SLX-19577.i716_i521,880,snRNAseq2_old_buffer
SLX-19577.i716_i522,1170,snRNAseq2_old_buffer
SLX-19577.i718_i502,2683,snRNAseq2_old_buffer
SLX-19577.i718_i503,1142,snRNAseq2_old_buffer
SLX-19577.i718_i505,195,snRNAseq2_old_buffer
SLX-19577.i718_i506,1249,snRNAseq2_old_buffer
SLX-19577.i718_i507,2168,snRNAseq2_old_buffer
SLX-19577.i718_i508,2514,snRNAseq2_old_buffer
SLX-19577.i718_i510,3297,snRNAseq2_old_buffer
SLX-19577.i718_i511,218,snRNAseq2_old_buffer
SLX-19577.i718_i513,1046,snRNAseq2_old_buffer
SLX-19577.i718_i515,1893,snRNAseq2_old_buffer
SLX-19577.i718_i516,366,snRNAseq2_old_buffer
SLX-19577.i718_i517,1209,snRNAseq2_old_buffer
SLX-19577.i718_i518,625,snRNAseq2_old_buffer
SLX-19577.i718_i520,616,snRNAseq2_old_buffer
SLX-19577.i718_i521,823,snRNAseq2_old_buffer
SLX-19577.i718_i522,174,snRNAseq2_old_buffer
SLX-19577.i719_i502,1856,snRNAseq2_old_buffer
SLX-19577.i719_i503,1168,snRNAseq2_old_buffer
SLX-19577.i719_i505,1011,snRNAseq2_old_buffer
SLX-19577.i719_i506,920,snRNAseq2_old_buffer
SLX-19577.i719_i507,104,snRNAseq2_old_buffer
SLX-19577.i719_i508,512,snRNAseq2_old_buffer
SLX-19577.i719_i510,1009,snRNAseq2_old_buffer
SLX-19577.i719_i511,1136,snRNAseq2_old_buffer
SLX-19577.i719_i513,340,snRNAseq2_old_buffer
SLX-19577.i719_i515,881,snRNAseq2_old_buffer
SLX-19577.i719_i516,505,snRNAseq2_old_buffer
SLX-19577.i719_i517,1625,snRNAseq2_old_buffer
SLX-19577.i719_i518,569,snRNAseq2_old_buffer
SLX-19577.i719_i520,1110,snRNAseq2_old_buffer
SLX-19577.i719_i521,68,snRNAseq2_old_buffer
SLX-19577.i719_i522,1954,snRNAseq2_old_buffer
SLX-19577.i720_i502,1033,snRNAseq2_old_buffer
SLX-19577.i720_i503,2139,snRNAseq2_old_buffer
SLX-19577.i720_i505,264,snRNAseq2_old_buffer
SLX-19577.i720_i506,415,snRNAseq2_old_buffer
SLX-19577.i720_i507,1428,snRNAseq2_old_buffer
SLX-19577.i720_i508,2228,snRNAseq2_old_buffer
SLX-19577.i720_i510,2557,snRNAseq2_old_buffer
SLX-19577.i720_i511,282,snRNAseq2_old_buffer
SLX-19577.i720_i513,806,snRNAseq2_old_buffer
SLX-19577.i720_i515,591,snRNAseq2_old_buffer
SLX-19577.i720_i516,1766,snRNAseq2_old_buffer
SLX-19577.i720_i517,487,snRNAseq2_old_buffer
SLX-19577.i720_i518,1832,snRNAseq2_old_buffer
SLX-19577.i720_i520,627,snRNAseq2_old_buffer
SLX-19577.i720_i521,2394,snRNAseq2_old_buffer
SLX-19577.i720_i522,221,snRNAseq2_old_buffer
SLX-19577.i721_i502,3177,snRNAseq2_old_buffer
SLX-19577.i721_i503,2595,snRNAseq2_old_buffer
SLX-19577.i721_i505,821,snRNAseq2_old_buffer
SLX-19577.i721_i506,1309,snRNAseq2_old_buffer
SLX-19577.i721_i507,1924,snRNAseq2_old_buffer
SLX-19577.i721_i508,236,snRNAseq2_old_buffer
SLX-19577.i721_i510,912,snRNAseq2_old_buffer
SLX-19577.i721_i511,476,snRNAseq2_old_buffer
SLX-19577.i721_i513,2241,snRNAseq2_old_buffer
SLX-19577.i721_i515,356,snRNAseq2_old_buffer
SLX-19577.i721_i516,740,snRNAseq2_old_buffer
SLX-19577.i721_i517,1265,snRNAseq2_old_buffer
SLX-19577.i721_i518,1592,snRNAseq2_old_buffer
SLX-19577.i721_i520,1258,snRNAseq2_old_buffer
SLX-19577.i721_i521,185,snRNAseq2_old_buffer
SLX-19577.i721_i522,654,snRNAseq2_old_buffer
SLX-19577.i722_i502,2757,snRNAseq2_old_buffer
SLX-19577.i722_i503,1726,snRNAseq2_old_buffer
SLX-19577.i722_i505,695,snRNAseq2_old_buffer
SLX-19577.i722_i506,203,snRNAseq2_old_buffer
SLX-19577.i722_i507,430,snRNAseq2_old_buffer
SLX-19577.i722_i508,407,snRNAseq2_old_buffer
SLX-19577.i722_i510,1849,snRNAseq2_old_buffer
SLX-19577.i722_i511,388,snRNAseq2_old_buffer
SLX-19577.i722_i513,1579,snRNAseq2_old_buffer
SLX-19577.i722_i515,888,snRNAseq2_old_buffer
SLX-19577.i722_i516,733,snRNAseq2_old_buffer
SLX-19577.i722_i517,796,snRNAseq2_old_buffer
SLX-19577.i722_i518,137,snRNAseq2_old_buffer
SLX-19577.i722_i520,2902,snRNAseq2_old_buffer
SLX-19577.i722_i521,1932,snRNAseq2_old_buffer
SLX-19577.i722_i522,100,snRNAseq2_old_buffer
SLX-19577.i723_i502,2234,snRNAseq2_old_buffer
SLX-19577.i723_i503,4681,snRNAseq2_old_buffer
SLX-19577.i723_i505,1295,snRNAseq2_old_buffer
SLX-19577.i723_i506,1137,snRNAseq2_old_buffer
SLX-19577.i723_i507,224,snRNAseq2_old_buffer
SLX-19577.i723_i508,245,snRNAseq2_old_buffer
SLX-19577.i723_i510,1143,snRNAseq2_old_buffer
SLX-19577.i723_i511,2185,snRNAseq2_old_buffer
SLX-19577.i723_i513,623,snRNAseq2_old_buffer
SLX-19577.i723_i515,945,snRNAseq2_old_buffer
SLX-19577.i723_i516,522,snRNAseq2_old_buffer
SLX-19577.i723_i517,2207,snRNAseq2_old_buffer
SLX-19577.i723_i518,1390,snRNAseq2_old_buffer
SLX-19577.i723_i520,1903,snRNAseq2_old_buffer
