Ahr	Hepatocyte	Hepatocyte
Cyp1a1	Hepatocyte	Hepatocyte
Nr1i3	Hepatocyte	Hepatocyte
Cps1	Hepatocyte	Hepatocyte
Gls2	Hepatocyte	Hepatocyte
Pck1	Hepatocyte	Hepatocyte
Fcna	Hepatocyte	Hepatocyte
Tat	Hepatocyte	Hepatocyte
Prrg4	Hepatocyte	Hepatocyte
Sult1a1	Hepatocyte	Hepatocyte
Apoh	Hepatocyte	Hepatocyte
Ctnnb1	Hepatocyte	Hepatocyte
Abcc3	Hepatocyte	Hepatocyte
Fgb	Hepatocyte	Hepatocyte
Aqp3	Hepatocyte	Hepatocyte
Plscr1	Hepatocyte	Hepatocyte
Fga	Hepatocyte	Hepatocyte
Apob	Hepatocyte	Hepatocyte
Ang	Hepatocyte	Hepatocyte
Anxa13	Hepatocyte	Hepatocyte
Sat2	Hepatocyte	Hepatocyte
Sfrp5	Hepatocyte	Hepatocyte
A1cf	Hepatocyte	Hepatocyte
Apoa1	Hepatocyte	Hepatocyte
Bnip3	Hepatocyte	Hepatocyte
Fgl1	Hepatocyte	Hepatocyte
Pah	Hepatocyte	Hepatocyte
Serpina6	Hepatocyte	Hepatocyte
Apoa2	Hepatocyte	Hepatocyte
Azgp1	Hepatocyte	Hepatocyte
Apoc3	Hepatocyte	Hepatocyte
Defb1	Hepatocyte	Hepatocyte
Tm4sf4	Hepatocyte	Hepatocyte
Gc	Hepatocyte	Hepatocyte
Ambp	Hepatocyte	Hepatocyte
Orm1	Hepatocyte	Hepatocyte
Ttr	Hepatocyte	Hepatobiliary
Serpina1c	Hepatocyte	Hepatocyte
Gulo	Hepatocyte	Hepatocyte
Cyp2f2	Hepatocyte	Hepatocyte
Hal	Hepatocyte	Hepatocyte
Ass1	Hepatocyte	Hepatocyte
Hmgcs1	Hepatocyte	Hepatocyte
Acss2	Hepatocyte	Hepatocyte
Tm7sf2	Hepatocyte	Hepatocyte
Sec16b	Hepatocyte	Hepatocyte
Slbp	Hepatocyte	Hepatocyte
Rnd3	Hepatocyte	Hepatocyte
